Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,9,D. Watson QB - HOU ,20.82,K. Hunt RB - CLE ,12.10,A. Jones RB - GB ,17.60,T. Lockett WR - SEA ,17.20,M. Thomas WR - NO ,4.70,A. Brown WR - TEN ,8.90,T. Higbee TE - LA ,7.00,T. Hilton WR - IND ,9.30,J. Myers K - SEA ,9.00,Patriots DEF ,11.00,B. Cooks WR - HOU ,4.00,H. Henry TE - LAC ,12.30,R. Anderson WR - CAR ,25.40,M. Hardman WR - KC ,3.60,M. Sanders RB - PHI ,0.00,J. Burrow QB - CIN ,16.32,-,-,-,-,117.62,Lucas,161.10
Lucas,3,L. Jackson QB - BAL ,27.50,C. McCaffrey RB - CAR ,28.50,D. Singletary RB - BUF ,10.30,A. Cooper WR - DAL ,18.10,C. Godwin WR - TB ,13.90,M. Gallup WR - DAL ,8.00,M. Andrews TE - BAL ,22.80,J. Brown WR - BUF ,19.00,J. Tucker K - BAL ,9.00,49ers DEF ,4.00,D. Brees QB - NO ,14.40,R. Mostert RB - SF ,25.10,C. Kirk WR - ARI ,1.80,D. Goedert TE - PHI ,24.10,J. Dobbins RB - BAL ,14.20,J. Reagor WR - PHI ,7.10,-,-,-,-,161.10,Jake,117.62
Graham,2,A. Rodgers QB - GB ,30.76,E. Elliott RB - DAL ,27.70,J. Conner RB - PIT ,3.70,A. Thielen WR - MIN ,31.00,T. Hill WR - KC ,15.60,C. Ridley WR - ATL ,33.90,H. Hurst TE - ATL ,6.80,D. Jackson WR - PHI ,6.60,C. Boswell K - PIT ,8.00,Eagles DEF ,3.00,C. Thompson RB - JAX ,2.60,J. Landry WR - CLE ,11.10,M. Breida RB - MIA ,2.20,D. Johnson WR - PIT ,11.00,Z. Moss RB - BUF ,11.70,C. Akers RB - LA ,5.30,R. Armstead RB - JAX ,0.00,-,-,167.06,f,105.94
Liam,4,J. Allen QB - BUF ,28.18,T. Gurley RB - ATL ,13.70,A. Ekeler RB - LAC ,9.70,D. Adams WR - GB ,41.60,C. Kupp WR - LA View News ,8.00,S. Sims WR - WAS ,9.70,Z. Ertz TE - PHI ,10.80,T. Cohen RB - CHI ,6.70,Y. Koo K - ATL ,8.00,Bills DEF ,8.00,E. Sanders WR - NO ,10.50,G. Tate WR - NYG ,0.00,J. Howard RB ,6.70,S. Michel RB - NE ,9.70,C. Sutton WR - DEN ,0.00,D. Swift RB - DET ,11.30,-,-,-,-,144.38,Sam,128.20
Matt,6,M. Ryan QB - ATL ,23.90,D. Johnson RB - HOU ,19.90,C. Edwards-Helaire RB - KC ,19.80,K. Allen WR - LAC ,7.70,S. Diggs WR - BUF ,16.60,M. Brown WR - BAL ,15.10,G. Kittle TE - SF ,9.30,N. Chubb RB - CLE ,5.60,W. Lutz K - NO ,10.00,Colts DEF ,4.00,J. Edelman WR - NE ,13.00,S. Watkins WR - KC ,21.50,J. McKinnon RB - SF ,15.00,J. White RB - NE ,8.20,J. Smith TE - TEN ,13.60,A. Miller WR - CHI ,17.60,-,-,-,-,131.90,Jess,136.60
Kevin,8,P. Mahomes QB - KC ,20.44,A. Kamara RB - NO ,23.70,R. Jones RB - TB ,10.20,A. Green WR - CIN ,10.10,D. Hopkins WR - ARI ,29.10,O. Beckham WR - CLE ,5.20,D. Waller TE - LV ,10.50,C. Lamb WR - DAL ,12.90,J. Elliott K - PHI ,5.00,Vikings DEF ,-4.00,K. Johnson RB - DET ,1.40,M. Gesicki TE - MIA ,6.00,J. Jeudy WR - DEN ,9.60,M. Pittman WR - IND ,3.00,J. Taylor RB - IND ,14.90,J. Jefferson WR - MIN ,4.60,-,-,-,-,123.14,Nolan,180.08
Nolan,1,R. Wilson QB - SEA ,31.78,C. Carson RB - SEA ,24.60,J. Jacobs RB - LV ,35.90,W. Fuller WR - HOU ,19.20,D. Chark WR - JAX ,11.50,D. Metcalf WR - SEA ,19.50,R. Gronkowski TE - TB ,3.10,K. Drake RB - ARI ,14.50,G. Zuerlein K - DAL ,5.00,Ravens DEF ,15.00,T. Brady QB - TB ,20.46,G. Bernard RB - CIN ,6.80,M. Evans WR - TB ,7.20,L. Fournette RB - TB ,2.90,D. Slayton WR - NYG ,28.20,B. Edwards WR - LV ,1.90,-,-,-,-,180.08,Kevin,123.14
Jess,5,C. Wentz QB - PHI ,13.00,M. Ingram RB - BAL View News ,2.90,D. Henry RB - TEN ,16.10,J. Jones WR - ATL ,24.70,J. Smith-Schuster WR - PIT ,24.90,D. Moore WR - CAR ,9.40,J. Cook TE - NO ,13.00,M. Gordon RB - DEN ,15.60,H. Butker K - KC ,10.00,Chiefs DEF ,7.00,M. Jones WR - DET ,9.50,T. Coleman RB - SF ,3.40,S. Shepard WR - NYG ,10.70,A. Hooper TE - CLE ,3.50,D. Montgomery RB - CHI ,8.40,T. Pollard RB - DAL ,10.00,-,-,-,-,136.60,Matt,131.90
Sam,7,K. Murray QB - ARI ,26.30,J. Mixon RB - CIN ,6.10,D. Cook RB - MIN ,21.80,R. Woods WR - LA ,17.90,D. Parker WR - MIA ,8.70,T. McLaurin WR - WAS ,11.10,E. Engram TE - NYG ,2.90,A. Gibson RB - WAS ,6.40,R. Gould K - SF ,10.00,Saints DEF ,17.00,E. Ebron TE - PIT ,2.80,J. Crowder WR - NYJ ,24.50,K. Golladay WR - DET ,0.00,A. Mattison RB - MIN ,12.00,J. Robinson RB - JAX ,10.00,B. Aiyuk WR - SF ,0.00,D. Harris RB - NE ,0.00,D. Samuel WR - SF ,0.00,128.20,Liam,144.38
f,10,D. Prescott QB - DAL View News ,17.64,L. Bell RB - KC ,6.60,S. Barkley RB - NYG ,12.60,A. Robinson WR - CHI ,12.30,T. Boyd WR - CIN ,7.30,P. Williams WR - MIA ,6.10,T. Kelce TE - KC ,17.00,B. Scott RB - PHI ,7.40,J. Slye K - CAR ,11.00,Steelers DEF ,8.00,C. Newton QB - NE ,25.70,C. Manhertz TE - CAR ,1.40,P. Lindsay RB - DEN ,4.50,N. Fant TE - DEN ,19.10,N. Harry WR - NE ,6.90,H. Ruggs WR - LV ,9.60,-,-,-,-,105.94,Graham,167.06
