Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Jake,4,D. Watson QB - HOU ,26.76,M. Davis RB - CAR ,8.80,M. Sanders RB - PHI ,18.40,T. Lockett WR - SEA ,7.40,T. Hill WR - KC ,10.50,R. Anderson WR - CAR ,16.90,T. Hockenson TE - DET ,6.30,K. Hunt RB - CLE ,14.20,R. Blankenship K - IND ,6.00,Dolphins DEF ,5.00,H. Henry TE - LAC ,0.00,W. Gallman RB - NYG ,7.30,A. Lazard WR - GB ,3.40,R. Gage WR - ATL ,6.30,C. Edwards-Helaire RB - KC ,0.00,S. Ahmed RB - MIA ,1.30,M. Thomas WR - NO ,0.00,120.26,Kevin,154.12
Lucas,8,L. Jackson QB - BAL ,21.32,C. McCaffrey RB - CAR ,0.00,D. Singletary RB - BUF ,7.20,A. Cooper WR - DAL ,16.10,C. Godwin WR - TB ,19.40,J. Jefferson WR - MIN ,14.50,M. Andrews TE - BAL ,13.60,R. Tonyan TE - GB ,2.70,J. Tucker K - BAL ,9.00,49ers DEF ,11.00,M. Ryan QB - ATL ,19.90,A. Peterson RB - DET ,1.00,R. Mostert RB - SF ,0.00,M. Gallup WR - DAL ,30.10,C. Kirk WR - ARI ,14.60,M. Hardman WR - KC ,11.50,J. Brown WR - BUF ,0.00,114.82,f,133.24
Graham,6,A. Rodgers QB - GB ,25.14,A. Jones RB - GB ,12.80,J. Taylor RB - IND ,19.40,A. Thielen WR - MIN ,23.70,M. Evans WR - TB ,40.10,C. Ridley WR - ATL ,17.30,J. Cook TE - NO ,11.20,L. Fournette RB - TB ,15.60,J. Myers K - SEA ,10.00,Patriots DEF ,-4.00,L. Murray RB - NO ,12.60,D. Johnson RB - HOU ,0.00,K. Drake RB - ARI ,13.00,C. Edmonds RB - ARI ,2.80,J. Akins TE - HOU ,7.90,D. Johnson WR - PIT ,22.40,R. Armstead RB - JAX ,0.00,171.24,Nolan,113.90
Liam,9,J. Allen QB - BUF ,32.30,A. Ekeler RB - LAC ,15.80,T. Pollard RB - DAL ,3.00,D. Adams WR - GB ,43.20,C. Kupp WR - LA View News ,14.70,T. Higgins WR - CIN ,21.90,D. Goedert TE - PHI ,6.80,C. Davis WR - TEN ,0.00,Y. Koo K - ATL ,2.00,Bills DEF ,7.00,E. Sanders WR - NO ,13.50,T. Gurley RB - ATL ,8.00,N. Hines RB - IND ,16.70,K. Ballage RB - LAC ,4.60,J. Jeudy WR - DEN ,12.10,J. Landry WR - CLE ,0.00,-,-,146.70,Jess,129.92
Matt,5,T. Brady QB - TB ,29.92,N. Chubb RB - CLE ,17.60,J. Dobbins RB - BAL ,13.70,B. Cooks WR - HOU ,27.10,A. Robinson WR - CHI ,20.30,A. Brown WR - TEN ,8.30,G. Kittle TE - SF ,13.20,A. Brown WR - TB ,13.50,W. Lutz K - NO ,10.00,Buccaneers DEF ,12.00,K. Allen WR - LAC ,0.00,J. White RB - NE ,6.70,D. Booker RB - LV ,3.90,A. Hooper TE - CLE ,14.10,J. Mixon RB - CIN ,0.00,Seahawks DEF ,9.00,-,-,165.62,Sam,141.88
Kevin,2,P. Mahomes QB - KC ,19.22,L. Bell RB - KC ,4.90,A. Kamara RB - NO ,56.20,C. Beasley WR - BUF ,4.70,D. Hopkins WR - ARI ,12.80,B. Aiyuk WR - SF ,4.10,D. Waller TE - LV ,16.20,C. Lamb WR - DAL ,24.00,D. Carlson K - LV ,12.00,Colts DEF ,0.00,T. Hilton WR - IND ,9.00,D. Parker WR - MIA ,0.00,J. Conner RB - PIT ,17.60,R. Jones RB - TB ,0.00,T. McLaurin WR - WAS ,0.00,C. Akers RB - LA ,0.00,-,-,154.12,Jake,120.26
Nolan,1,R. Wilson QB - SEA ,19.90,E. Elliott RB - DAL ,17.90,C. Carson RB - SEA ,10.90,R. Higgins WR - CLE ,0.00,D. Metcalf WR - SEA ,11.90,C. Claypool WR - PIT ,9.40,J. Smith TE - TEN ,12.00,J. Jacobs RB - LV ,6.90,J. Sanders K - MIA ,15.00,Ravens DEF ,10.00,E. Ebron TE - PIT ,15.70,N. Agholor WR - LV ,26.50,M. Williams WR - LAC ,9.40,D. Chark WR - JAX ,16.20,J. Meyers WR - NE ,8.50,Browns DEF ,6.00,W. Fuller WR - HOU ,0.00,113.90,Graham,171.24
Jess,7,J. Herbert QB - LAC ,16.72,D. Henry RB - TEN ,9.80,D. Montgomery RB - CHI ,20.10,S. Shepard WR - NYG ,22.70,J. Smith-Schuster WR - PIT ,24.60,D. Moore WR - CAR ,8.70,M. Gesicki TE - MIA ,9.40,M. Jones WR - DET ,4.90,H. Butker K - KC ,7.00,Rams DEF ,6.00,J. Jones WR - ATL ,0.00,M. Gordon RB - DEN ,7.90,C. Wentz QB - PHI ,0.00,J. Williams RB - GB ,0.00,H. Renfrow WR - LV ,14.50,D. Bailey K - MIN ,2.00,-,-,129.92,Liam,146.70
Sam,3,K. Murray QB - ARI ,15.38,D. Cook RB - MIN ,16.50,A. Gibson RB - WAS ,9.90,R. Woods WR - LA ,8.90,S. Diggs WR - BUF ,41.50,K. Coutee WR - HOU ,10.40,L. Thomas TE - WAS ,13.30,D. Swift RB - DET ,9.00,T. Bass K - BUF ,8.00,Football Team DEF ,9.00,R. Gronkowski TE - TB ,19.80,J. Crowder WR - NYJ ,29.32,C. Samuel WR - CAR ,20.80,M. Pittman WR - IND ,6.80,J. Robinson RB - JAX ,0.00,J. Hurts QB - PHI ,18.58,-,-,141.88,Matt,165.62
f,10,R. Tannehill QB - TEN ,16.34,D. Johnson RB - HOU ,28.90,J. McKissic RB - WAS ,23.20,C. Patterson WR - CHI ,2.20,K. Cole WR - JAX ,5.60,G. Ward WR - PHI ,4.70,T. Kelce TE - KC ,22.80,B. Scott RB - PHI ,7.50,G. Zuerlein K - DAL ,13.00,Steelers DEF ,9.00,C. Newton QB - NE ,9.76,J. McKinnon RB - SF ,12.70,T. Boyd WR - CIN ,0.00,M. Gaskin RB - MIA ,33.90,N. Fant TE - DEN ,12.50,H. Ruggs WR - LV ,0.70,P. Williams WR - MIA ,0.00,133.24,Lucas,114.82
