,round,pick,player,team,info,overall,unique_str
0,1.0,1.0,Christian McCaffrey,The Longest Yard,RB - CAR,1,"McCaffrey, C. RB CAR"
1,1.0,2.0,Saquon Barkley,Tight Ends Spread Sheets,RB - NYG,2,"Barkley, S. RB NYG"
2,1.0,3.0,Ezekiel Elliott,Eatin W's,RB - DAL,3,"Elliott, E. RB DAL"
3,1.0,4.0,Alvin Kamara,ganggreen215,RB - NO,4,"Kamara, A. RB NO"
4,1.0,5.0,Dalvin Cook,Gronk's New Groove,RB - MIN,5,"Cook, D. RB MIN"
5,1.0,6.0,Clyde Edwards-Helaire,Do it for George,RB - KC,6,"Edwards-Helaire, C. RB KC"
6,1.0,7.0,Michael Thomas,The Wet Market Pangolins,WR - NO,7,"Thomas, M. WR NO"
7,1.0,8.0,Derrick Henry,KaepernicksRevenge,RB - TEN,8,"Henry, D. RB TEN"
8,1.0,9.0,Kenyan Drake,Triple Crown,RB - ARI,9,"Drake, K. RB ARI"
9,1.0,10.0,Davante Adams,Fantasy Football Team,WR - GB,10,"Adams, D. WR GB"
10,2.0,1.0,Austin Ekeler,Fantasy Football Team,RB - LAC,11,"Ekeler, A. RB LAC"
11,2.0,2.0,Josh Jacobs,Triple Crown,RB - LV,12,"Jacobs, J. RB LV"
12,2.0,3.0,Julio Jones,KaepernicksRevenge,WR - ATL,13,"Jones, J. WR ATL"
13,2.0,4.0,Miles Sanders,The Wet Market Pangolins,RB - PHI,14,"Sanders, M. RB PHI"
14,2.0,5.0,George Kittle,Do it for George,TE - SF,15,"Kittle, G. TE SF"
15,2.0,6.0,Joe Mixon,Gronk's New Groove,RB - CIN,16,"Mixon, J. RB CIN"
16,2.0,7.0,DeAndre Hopkins,ganggreen215,WR - ARI,17,"Hopkins, D. WR ARI"
17,2.0,8.0,Tyreek Hill,Eatin W's,WR - KC,18,"Hill, T. WR KC"
18,2.0,9.0,Travis Kelce,Tight Ends Spread Sheets,TE - KC,19,"Kelce, T. TE KC"
19,2.0,10.0,Lamar Jackson,The Longest Yard,QB - BAL,20,"Jackson, L. QB BAL"
20,3.0,1.0,Chris Godwin,The Longest Yard,WR - TB,21,"Godwin, C. WR TB"
21,3.0,2.0,Allen Robinson,Tight Ends Spread Sheets,WR - CHI,22,"Robinson, A. WR CHI"
22,3.0,3.0,Adam Thielen,Eatin W's,WR - MIN,23,"Thielen, A. WR MIN"
23,3.0,4.0,Patrick Mahomes,ganggreen215,QB - KC,24,"Mahomes, P. QB KC"
24,3.0,5.0,Kenny Golladay,Gronk's New Groove,WR - DET,25,"Golladay, K. WR DET"
25,3.0,6.0,Nick Chubb,Do it for George,RB - CLE,26,"Chubb, N. RB CLE"
26,3.0,7.0,Aaron Jones,The Wet Market Pangolins,RB - GB,27,"Jones, A. RB GB"
27,3.0,8.0,D.J. Moore,KaepernicksRevenge,WR - CAR,28,"Moore, D. WR CAR"
28,3.0,9.0,Chris Carson,Triple Crown,RB - SEA,29,"Carson, C. RB SEA"
29,3.0,10.0,Cooper Kupp,Fantasy Football Team,WR - LA,30,"Kupp, C. WR LA"
30,4.0,1.0,Todd Gurley,Fantasy Football Team,RB - ATL,31,"Gurley, T. RB ATL"
31,4.0,2.0,Mike Evans,Triple Crown,WR - TB,32,"Evans, M. WR TB"
32,4.0,3.0,JuJu Smith-Schuster,KaepernicksRevenge,WR - PIT,33,"Smith-Schuster, J. WR PIT"
33,4.0,4.0,A.J. Brown,The Wet Market Pangolins,WR - TEN,34,"Brown, A. WR TEN"
34,4.0,5.0,David Johnson,Do it for George,RB - HOU,35,"Johnson, D. RB HOU"
35,4.0,6.0,Robert Woods,Gronk's New Groove,WR - LA,36,"Woods, R. WR LA"
36,4.0,7.0,Odell Beckham Jr.,ganggreen215,WR - CLE,37,"Beckham Jr., O. WR CLE"
37,4.0,8.0,James Conner,Eatin W's,RB - PIT,38,"Conner, J. RB PIT"
38,4.0,9.0,Le'Veon Bell,Tight Ends Spread Sheets,RB - KC,39,"Bell, L. RB KC"
39,4.0,10.0,Amari Cooper,The Longest Yard,WR - DAL,40,"Cooper, A. WR DAL"
40,5.0,1.0,Mark Andrews,The Longest Yard,TE - BAL,41,"Andrews, M. TE BAL"
41,5.0,2.0,Dak Prescott,Tight Ends Spread Sheets,QB - DAL,42,"Prescott, D. QB DAL"
42,5.0,3.0,Calvin Ridley,Eatin W's,WR - ATL,43,"Ridley, C. WR ATL"
43,5.0,4.0,Jonathan Taylor,ganggreen215,RB - IND,44,"Taylor, J. RB IND"
44,5.0,5.0,Terry McLaurin,Gronk's New Groove,WR - WAS,45,"McLaurin, T. WR WAS"
45,5.0,6.0,Keenan Allen,Do it for George,WR - LAC,46,"Allen, K. WR LAC"
46,5.0,7.0,Tyler Lockett,The Wet Market Pangolins,WR - SEA,47,"Lockett, T. WR SEA"
47,5.0,8.0,Melvin Gordon,KaepernicksRevenge,RB - DEN,48,"Gordon, M. RB DEN"
48,5.0,9.0,D.J. Chark,Triple Crown,WR - JAX,49,"Chark, D. WR JAX"
49,5.0,10.0,Courtland Sutton,Fantasy Football Team,WR - DEN,50,"Sutton, C. WR DEN"
50,6.0,1.0,Zach Ertz,Fantasy Football Team,TE - PHI,51,"Ertz, Z. TE PHI"
51,6.0,2.0,DK Metcalf,Triple Crown,WR - SEA,52,"Metcalf, D. WR SEA"
52,6.0,3.0,Mark Ingram,KaepernicksRevenge,RB - BAL,53,"Ingram, M. RB BAL"
53,6.0,4.0,Deshaun Watson,The Wet Market Pangolins,QB - HOU,54,"Watson, D. QB HOU"
54,6.0,5.0,Marquise Brown,Do it for George,WR - BAL,55,"Brown, M. WR BAL"
55,6.0,6.0,Kyler Murray,Gronk's New Groove,QB - ARI,56,"Murray, K. QB ARI"
56,6.0,7.0,Darren Waller,ganggreen215,TE - LV,57,"Waller, D. TE LV"
57,6.0,8.0,Jarvis Landry,Eatin W's,WR - CLE,58,"Landry, J. WR CLE"
