name,position,team,unique_str,week,owner,points,status,RostStatus
"Watson, D.",QB,HOU,"Watson, D. QB HOU",01,Jake,20.82,Active,Starting
Panthers DEF ,DEF,Panthers,Panthers DEF ,01,FA,,FA,FA
"Renfrow, H.",WR,LV,"Renfrow, H. WR LV",01,FA,,FA,FA
Browns DEF ,DEF,Browns,Browns DEF ,01,FA,,FA,FA
"Miller, S.",WR,TB,"Miller, S. WR TB",01,FA,,FA,FA
"Carlson, D.",K,LV,"Carlson, D. K LV",01,FA,,FA,FA
"Graham, J.",TE,CHI,"Graham, J. TE CHI",01,FA,,FA,FA
"McManus, B.",K,DEN,"McManus, B. K DEN",01,FA,,FA,FA
"Davis, M.",RB,CAR,"Davis, M. RB CAR",01,FA,,FA,FA
"Beasley, C.",WR,BUF,"Beasley, C. WR BUF",01,FA,,FA,FA
"Hockenson, T.",TE,DET,"Hockenson, T. TE DET",01,FA,,FA,FA
"Johnson, D.",RB,CLE,"Johnson, D. RB CLE",01,FA,,FA,FA
"Lazard, A.",WR,GB,"Lazard, A. WR GB",01,FA,,FA,FA
"Williams, J.",RB,GB,"Williams, J. RB GB",01,FA,,FA,FA
Rams DEF ,DEF,Rams,Rams DEF ,01,FA,,FA,FA
"Hurts, J.",QB,PHI,"Hurts, J. QB PHI",01,FA,,FA,FA
"Blankenship, R.",K,IND,"Blankenship, R. K IND",01,FA,,FA,FA
"McKissic, J.",RB,WAS,"McKissic, J. RB WAS",01,FA,,FA,FA
"Bridgewater, T.",QB,CAR,"Bridgewater, T. QB CAR",01,FA,,FA,FA
"Hines, N.",RB,IND,"Hines, N. RB IND",01,FA,,FA,FA
"Gonzalez, Z.",K,ARI,"Gonzalez, Z. K ARI",01,FA,,FA,FA
"Murray, L.",RB,NO,"Murray, L. RB NO",01,FA,,FA,FA
"Tonyan, R.",TE,GB,"Tonyan, R. TE GB",01,FA,,FA,FA
"Fells, D.",TE,HOU,"Fells, D. TE HOU",01,FA,,FA,FA
"Gaskin, M.",RB,MIA,"Gaskin, M. RB MIA",01,FA,,FA,FA
"Brown, A.",WR,TB,"Brown, A. WR TB",01,FA,,FA,FA
"Prater, M.",K,DET,"Prater, M. K DET",01,FA,,FA,FA
"Peterson, A.",RB,DET,"Peterson, A. RB DET",01,FA,,FA,FA
Buccaneers DEF ,DEF,Buccaneers,Buccaneers DEF ,01,FA,,FA,FA
"Edmonds, C.",RB,ARI,"Edmonds, C. RB ARI",01,FA,,FA,FA
"Henderson, D.",RB,LA,"Henderson, D. RB LA",01,FA,,FA,FA
"Hasty, J.",RB,SF,"Hasty, J. RB SF",01,FA,,FA,FA
"Davis, C.",WR,TEN,"Davis, C. WR TEN",01,FA,,FA,FA
"Gallman, W.",RB,NYG,"Gallman, W. RB NYG",01,FA,,FA,FA
