Date,Week,TransType,Player,Position,Team,From,To,By,TransCosts
2020-09-08 18:39:00,1,Lineup,Ryquell Armstead,RB,JAX,BN,RES,Graham,
2020-09-08 18:40:00,1,Lineup,Damien Harris,RB,NE,BN,RES,Sam via Mobile Device,
2020-09-08 18:42:00,1,Lineup,Mark Ingram,RB,BAL,R/W/T,RB,Jess,
2020-09-08 18:42:00,1,Lineup,Melvin Gordon,RB,DEN,RB,R/W/T,Jess,
2020-09-08 18:49:00,1,Lineup,Noah Fant,TE,DEN,BN,R/W/T,f,
2020-09-08 18:49:00,1,Lineup,Chris Manhertz,TE,CAR,R/W/T,BN,f,
2020-09-08 18:54:00,1,Lineup,John Brown,WR,BUF,BN,R/W/T,Lucas via Mobile Device,
2020-09-08 18:54:00,1,Lineup,Raheem Mostert,RB,SF,RB,BN,Lucas via Mobile Device,
2020-09-08 18:54:00,1,Lineup,Devin Singletary,RB,BUF,R/W/T,RB,Lucas via Mobile Device,
2020-09-08 20:31:00,1,Lineup,David Johnson,RB,HOU,R/W/T,RB,Matt,
2020-09-08 20:31:00,1,Lineup,Nick Chubb,RB,CLE,RB,R/W/T,Matt,
2020-09-08 22:50:00,1,Lineup,Jordan Howard,RB,No Team,BN,R/W/T,Liam via Mobile Device,
2020-09-08 22:50:00,1,Lineup,D'Andre Swift,RB,DET,R/W/T,BN,Liam via Mobile Device,
2020-09-08 23:08:00,1,Lineup,Sony Michel,RB,NE,BN,R/W/T,Liam via Mobile Device,
2020-09-08 23:08:00,1,Lineup,Jordan Howard,RB,No Team,R/W/T,BN,Liam via Mobile Device,
2020-09-09 08:52:00,1,Lineup,Chris Thompson,RB,JAX,BN,R/W/T,Graham,
2020-09-09 08:52:00,1,Lineup,Jarvis Landry,WR,CLE,R/W/T,BN,Graham,
2020-09-09 09:00:00,1,Lineup,DeSean Jackson,WR,PHI,BN,R/W/T,Graham,
2020-09-09 09:00:00,1,Lineup,Chris Thompson,RB,JAX,R/W/T,BN,Graham,
2020-09-09 13:09:00,1,Lineup,Tarik Cohen,RB,CHI,BN,R/W/T,Liam,
2020-09-09 13:09:00,1,Lineup,Sony Michel,RB,NE,R/W/T,BN,Liam,
2020-09-09 15:03:00,1,Lineup,Marvin Jones,WR,DET,BN,R/W/T,Jess via Mobile Device,
2020-09-09 15:03:00,1,Lineup,Melvin Gordon,RB,DEN,R/W/T,BN,Jess via Mobile Device,
2020-09-10 00:13:00,1,Add,Chris Boswell,K,PIT,Waivers,Eatin W's,Graham,0 pts
2020-09-10 00:13:00,1,Add,James Robinson,RB,JAX,Waivers,Gronk's New Groove,Sam,1 pts
2020-09-10 00:13:00,1,Add,Philadelphia Eagles DEF,DEF,PHI,Waivers,Eatin W's,Graham,1 pts
2020-09-10 00:13:00,1,Drop,Parris Campbell,WR,IND,Eatin W's,Waivers,Graham,
2020-09-10 04:33:00,1,Lineup,Raheem Mostert,RB,SF,BN,RB,Lucas via Mobile Device,
2020-09-10 04:33:00,1,Lineup,Devin Singletary,RB,BUF,RB,BN,Lucas via Mobile Device,
2020-09-10 05:38:00,1,Lineup,Jonathan Taylor,RB,IND,RB,BN,Kevin via Mobile Device,
2020-09-10 05:38:00,1,Lineup,Ronald Jones,RB,TB,BN,RB,Kevin via Mobile Device,
2020-09-10 08:41:00,1,Add,Younghoe Koo,K,ATL,Free Agents,Fantasy Football Team,Liam,
