,name,position,team,first_owner,drafted_by,Week01_owner,Week01_points,Week01_status,Week01_RostStatus,Week10_owner,Week10_points,Week10_status,Week10_RostStatus,Week11_owner,Week11_points,Week11_status,Week11_RostStatus,Week12_owner,Week12_points,Week12_status,Week12_RostStatus,Week13_owner,Week13_points,Week13_status,Week13_RostStatus,Week14_owner,Week14_points,Week14_status,Week14_RostStatus,Week15_owner,Week15_points,Week15_status,Week15_RostStatus,Week16_owner,Week16_points,Week16_status,Week16_RostStatus,Week02_owner,Week02_points,Week02_status,Week02_RostStatus,Week03_owner,Week03_points,Week03_status,Week03_RostStatus,Week04_owner,Week04_points,Week04_status,Week04_RostStatus,Week05_owner,Week05_points,Week05_status,Week05_RostStatus,Week06_owner,Week06_points,Week06_status,Week06_RostStatus,Week07_owner,Week07_points,Week07_status,Week07_RostStatus,Week08_owner,Week08_points,Week08_status,Week08_RostStatus,Week09_owner,Week09_points,Week09_status,Week09_RostStatus,Week01_TransStatus,Week10_TransStatus,Week11_TransStatus,Week12_TransStatus,Week13_TransStatus,Week14_TransStatus,Week15_TransStatus,Week16_TransStatus,Week02_TransStatus,Week03_TransStatus,Week04_TransStatus,Week05_TransStatus,Week06_TransStatus,Week07_TransStatus,Week08_TransStatus,Week09_TransStatus
"Watson, D. QB HOU","Watson, D.",QB,HOU,Jake,Jake,Jake,20.82,Active,Starting,Jake,14.12,Active,Starting,Jake,31.36,Active,Starting,Jake,33.12,Active,Starting,Jake,19.44,Active,Starting,Jake,16.56,Active,Starting,Jake,23.42,Active,Starting,Jake,26.76,Active,Starting,Jake,14.7,Active,Starting,Jake,17.06,Active,Starting,Jake,20.9,Inactive,Bench,Jake,24.86,Active,Starting,Jake,32.0,Active,Starting,Jake,24.16,Active,Starting,Jake,0.0,Inactive,Bench,Jake,24.24,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Hunt, K. RB CLE","Hunt, K.",RB,CLE,Jake,Jake,Jake,12.1,Active,Starting,Jake,16.2,Inactive,Bench,Jake,9.1,Inactive,Bench,Jake,6.2,Active,Starting,Jake,8.7,Inactive,Bench,Jake,29.0,Inactive,Bench,Jake,5.8,Active,Starting,Jake,14.2,Active,Starting,Jake,24.1,Active,Starting,Jake,14.4,Inactive,Bench,Jake,19.1,Inactive,Bench,Jake,18.3,Active,Starting,Jake,7.7,Inactive,Bench,Jake,19.2,Active,Starting,Jake,9.3,Active,Starting,Jake,0.0,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Jones, A. RB GB","Jones, A.",RB,GB,Jake,Jake,Jake,17.6,Active,Starting,Jake,14.5,Active,Starting,Jake,17.1,Active,Starting,Graham,10.0,Active,Starting,Graham,23.8,Active,Starting,Graham,9.5,Active,Starting,Graham,24.8,Active,Starting,Graham,12.8,Active,Starting,Jake,45.6,Active,Starting,Jake,16.6,Active,Starting,Jake,22.1,Active,Starting,Jake,0.0,Inactive,Bench,Jake,13.1,Active,Starting,Jake,0.0,Inactive,Bench,Jake,0.0,Inactive,Bench,Jake,12.9,Active,Starting,None,None,None,Traded,None,None,None,None,Traded,None,None,None,None,None,None,None
"Lockett, T. WR SEA","Lockett, T.",WR,SEA,Jake,Jake,Jake,17.2,Active,Starting,Jake,11.6,Active,Starting,Jake,21.7,Active,Starting,Jake,5.3,Active,Starting,Jake,12.3,Active,Starting,Jake,10.2,Active,Starting,Jake,7.4,Active,Starting,Jake,7.4,Active,Starting,Jake,19.7,Active,Starting,Jake,37.0,Active,Starting,Jake,5.9,Active,Starting,Jake,8.4,Active,Starting,Jake,0.0,Inactive,Bench,Jake,53.9,Active,Starting,Jake,7.3,Active,Starting,Jake,8.0,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Thomas, M. WR NO","Thomas, M.",WR,NO,Jake,Jake,Jake,4.7,Active,Starting,Jake,4.7,Active,Starting,Jake,19.4,Active,Starting,Jake,9.1,Active,Starting,Jake,19.5,Active,Starting,Jake,16.4,Active,Starting,Jake,0.0,Inactive,Bench,Jake,0.00,Inactive,Reserve,Jake,0.0,Inactive,Bench,Jake,0.0,Inactive,Bench,Jake,0.0,Inactive,Bench,Jake,0.0,Inactive,Bench,Jake,0.0,Inactive,Bench,Jake,0.0,Inactive,Bench,Jake,0.0,Inactive,Bench,Jake,10.1,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Brown, A. WR TEN","Brown, A.",WR,TEN,Jake,Jake,Jake,8.9,Active,Starting,Matt,3.1,Active,Starting,Matt,16.2,Active,Starting,Matt,30.0,Active,Starting,Matt,10.7,Active,Starting,Matt,24.2,Active,Starting,Matt,15.4,Active,Starting,Matt,8.3,Active,Starting,Jake,0.0,Inactive,Bench,Jake,0.0,Inactive,Bench,Jake,0.0,Inactive,Bench,Jake,21.2,Active,Starting,Jake,22.8,Active,Starting,Jake,27.3,Active,Starting,Matt,12.4,Active,Starting,Matt,20.1,Active,Starting,None,Traded,None,None,None,None,None,None,Traded,None,None,None,None,None,Traded,None
"Higbee, T. TE LA","Higbee, T.",TE,LA,Jake,Jake,Jake,7.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Jake,28.4,Active,Starting,Jake,8.0,Active,Starting,Jake,5.0,Active,Starting,Jake,3.2,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,None,None,Dropped,FA,FA,FA
"Hilton, T. WR IND","Hilton, T.",WR,IND,Jake,Jake,Jake,9.3,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Kevin,11.1,Inactive,Bench,Kevin,9.0,Inactive,Bench,Jake,5.8,Active,Starting,Matt,8.2,Inactive,Bench,Matt,5.9,Inactive,Bench,Matt,12.9,Inactive,Bench,FA,,FA,FA,Kevin,0.0,Inactive,Bench,Kevin,2.9,Inactive,Bench,Kevin,0.0,Inactive,Bench,None,Dropped,FA,FA,FA,FA,PickedUp,None,Traded,Traded,None,None,Dropped,PickedUp,None,None
"Myers, J. K SEA","Myers, J.",K,SEA,Jake,Jake,Jake,9.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Graham,4.0,Active,Starting,Graham,10.0,Active,Starting,Graham,10.0,Active,Starting,Graham,10.0,Active,Starting,Jake,5.0,Active,Starting,FA,,FA,FA,Graham,9.0,Active,Starting,Graham,3.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,PickedUp,None,None,None,Traded,Dropped,PickedUp,None,Dropped,FA,FA,FA
Patriots DEF,Patriots DEF,DEF,Patriots,Jake,Jake,Jake,11.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Graham,4.0,Active,Starting,Graham,4.0,Active,Starting,Graham,-4.0,Active,Starting,Jake,6.0,Active,Starting,Jake,15.0,Active,Starting,Jake,4.0,Inactive,Bench,Jake,0.0,Inactive,Bench,Jake,7.0,Active,Starting,Jake,6.0,Active,Starting,Jake,3.0,Inactive,Bench,Jake,3.0,Active,Starting,None,Dropped,FA,FA,FA,PickedUp,None,None,Traded,None,None,None,None,None,None,None
